alignment_condition_id,opinion_leaf,opinion_label,attack_leaf,attack_label,alignment_level,alignment_level_index,target_alignment_z,achieved_alignment_z,alignment_abs_error,n_profiles,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,sd_pn_increment_effectivity,sd_ae_total_network,condition_index,opinion_index,attack_index,condition_input_path,assignment_map_path
condition_12__energy_sovereignty_investment_support__quote_context_stripping,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_60,5,0.6,0.6132632379905574,0.0132632379905573,100,19.51,13.32,32.83,11.099986349977957,15.745485163382646,12,4,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_12__energy_sovereignty_investment_support__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_12__energy_sovereignty_investment_support__quote_context_stripping.json
condition_06__national_sovereignty_priority__headline_and_lede_misframing,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,susceptible_0_60,5,0.6,0.6001844840006713,0.0001844840006712,100,21.14,13.19,34.33,11.927978314310714,16.57371351864089,6,5,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_06__national_sovereignty_priority__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_06__national_sovereignty_priority__headline_and_lede_misframing.json
condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_60,5,0.6,0.6037333375643494,0.0037333375643494,100,41.66,19.85,61.51,11.362151418128736,23.652148769491145,18,3,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication.json
condition_24__trust_in_mainstream_journalism__repost_bot_amplification,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_60,5,0.6,0.5999930502582984,6.949741701567369e-06,100,32.96,20.74,53.7,24.492266353098298,27.87943016387936,24,2,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_24__trust_in_mainstream_journalism__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_24__trust_in_mainstream_journalism__repost_bot_amplification.json
condition_30__unilateralism_preference__petition_astroturf,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,susceptible_0_60,5,0.6,0.5996213729096755,0.0003786270903244,100,32.74,14.58,47.32,7.799481982280565,17.098573394327733,30,1,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_30__unilateralism_preference__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_30__unilateralism_preference__petition_astroturf.json
condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_90,6,0.9,0.903547774499494,0.0035477744994938,100,39.1,22.08,61.18,13.897663490855237,22.4276074461271,19,4,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication.json
condition_13__national_sovereignty_priority__quote_context_stripping,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_90,6,0.9,0.9109638594366544,0.0109638594366543,100,20.49,12.66,33.15,6.834582295320992,13.006117441769122,13,5,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_13__national_sovereignty_priority__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_13__national_sovereignty_priority__quote_context_stripping.json
condition_07__trade_with_authoritarian_states_support__headline_and_lede_misframing,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,susceptible_0_90,6,0.9,0.9200840789656516,0.0200840789656516,100,20.15,12.36,32.51,7.3133612330618885,10.85672997999793,7,6,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_07__trade_with_authoritarian_states_support__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_07__trade_with_authoritarian_states_support__headline_and_lede_misframing.json
condition_25__trust_in_electoral_process__repost_bot_amplification,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_90,6,0.9,0.9000194577562125,1.9457756212482025e-05,100,33.25,19.29,52.54,9.047902820794741,21.46052048282938,25,3,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_25__trust_in_electoral_process__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_25__trust_in_electoral_process__repost_bot_amplification.json
condition_31__trust_in_mainstream_journalism__petition_astroturf,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,susceptible_0_90,6,0.9,0.8985810384193977,0.0014189615806022,100,36.38,22.66,59.04,11.186409503310594,23.823814585706923,31,2,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_31__trust_in_mainstream_journalism__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_31__trust_in_mainstream_journalism__petition_astroturf.json
